# Auto-extracted from RangeConverter PDF for mtt_8max_10bb_co_vsopen
# Source: rangeconverter.com/free-poker-charts (free MTT pack)
# Auto-extracted via pixel sampling (vs-rfi). Verify against stated VPIP.
notation,action,freq
AA,call,1.0
AKs,call,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,fold,1.0
A8s,fold,1.0
A7s,fold,1.0
A6s,fold,1.0
A5s,fold,1.0
A4s,fold,1.0
A3s,fold,1.0
A2s,fold,1.0
AKo,call,1.0
KK,call,1.0
KQs,call,1.0
KJs,fold,1.0
KTs,fold,1.0
K9s,fold,1.0
K8s,fold,1.0
K7s,fold,1.0
K6s,fold,1.0
K5s,fold,1.0
K4s,fold,1.0
K3s,fold,1.0
K2s,fold,1.0
AQo,call,1.0
KQo,fold,1.0
QQ,call,1.0
QJs,fold,1.0
QTs,fold,1.0
Q9s,fold,1.0
Q8s,fold,1.0
Q7s,fold,1.0
Q6s,fold,1.0
Q5s,fold,1.0
Q4s,fold,1.0
Q3s,fold,1.0
Q2s,fold,1.0
AJo,call,1.0
KJo,fold,1.0
QJo,fold,1.0
JJ,call,1.0
JTs,fold,1.0
J9s,fold,1.0
J8s,fold,1.0
J7s,fold,1.0
J6s,fold,1.0
J5s,fold,1.0
J4s,fold,1.0
J3s,fold,1.0
J2s,fold,1.0
ATo,call,1.0
KTo,fold,1.0
QTo,fold,1.0
JTo,fold,1.0
TT,call,0.5
TT,fold,0.5
T9s,fold,1.0
T8s,fold,1.0
T7s,fold,1.0
T6s,fold,1.0
T5s,fold,1.0
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,fold,0.5
A9o,call,0.5
K9o,fold,1.0
Q9o,fold,1.0
J9o,fold,1.0
T9o,fold,0.5
T9o,call,0.5
99,call,0.5
99,fold,0.5
98s,fold,1.0
97s,fold,1.0
96s,fold,1.0
95s,fold,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,1.0
A8o,fold,1.0
K8o,fold,1.0
Q8o,fold,1.0
J8o,fold,1.0
T8o,fold,1.0
98o,fold,0.5
98o,call,0.5
88,call,0.5
88,fold,0.5
87s,fold,1.0
86s,fold,1.0
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,1.0
A7o,fold,1.0
K7o,fold,1.0
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,0.5
87o,call,0.5
77,fold,0.5
77,call,0.5
76s,fold,1.0
75s,fold,1.0
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,1.0
K6o,fold,1.0
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,0.5
76o,call,0.5
66,fold,0.5
66,call,0.5
65s,fold,1.0
64s,fold,1.0
63s,fold,1.0
62s,fold,1.0
A5o,fold,1.0
K5o,fold,1.0
Q5o,fold,1.0
J5o,fold,1.0
T5o,fold,1.0
95o,fold,1.0
85o,fold,1.0
75o,fold,1.0
65o,call,0.5
65o,fold,0.5
55,fold,1.0
54s,fold,1.0
53s,fold,1.0
52s,fold,1.0
A4o,fold,1.0
K4o,fold,1.0
Q4o,fold,1.0
J4o,fold,1.0
T4o,fold,1.0
94o,fold,1.0
84o,fold,1.0
74o,fold,1.0
64o,fold,1.0
54o,fold,1.0
44,fold,1.0
43s,fold,1.0
42s,fold,1.0
A3o,fold,1.0
K3o,fold,1.0
Q3o,fold,1.0
J3o,fold,1.0
T3o,fold,1.0
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,1.0
43o,fold,1.0
33,fold,1.0
32s,fold,1.0
A2o,fold,1.0
K2o,fold,1.0
Q2o,fold,1.0
J2o,fold,1.0
T2o,fold,1.0
92o,fold,1.0
82o,fold,1.0
72o,fold,1.0
62o,fold,1.0
52o,fold,1.0
42o,fold,1.0
32o,fold,1.0
22,fold,1.0
